complex_id	proteins
380	P14693 P50110 P53969
381	P16661 P38179 P53954
382	P11412 P46367 P54115
383	O13525 P27680 P53318
384	P11412 P46367 P54115
385	P22135 P40491 Q03028
386	P00424 P00427 P07255
387	P15367 Q04969 Q12133
388	P38969 P40990 P53239
389	P00424 P00427 P07255
390	P04806 P04807 P17709
391	P04806 P04807 P17709
392	P16661 P38179 P53954
393	P04806 P04807 P17709
394	P43124 Q05541 Q07913
395	P22135 P40491 Q03028
396	P14693 P50110 P53969
397	P04806 P04807 P17709
398	O13525 P27680 P53318
399	P38969 P40990 P53239
400	P32791 P35192 P36033
401	P04806 P04807 P17709
402	P15367 Q04969 Q12133
403	P15367 Q04969 Q12133
404	P32804 P34240 Q12436
405	P14693 P50110 P53969
406	P32804 P34240 Q12436
407	P16661 P38179 P53954
408	P39904 P47061 Q12071
409	P34110 P38759 Q92331
410	O13525 P27680 P53318
411	P04806 P04807 P17709
412	P04806 P04807 P17709
413	O13525 P27680 P53318
414	P32791 P35192 P36033
415	P14693 P50110 P53969
416	P38969 P40990 P53239
417	P32804 P34240 Q12436
418	P15367 Q04969 Q12133
419	P04806 P04807 P17709
420	P22135 P40491 Q03028
421	P14693 P50110 P53969
422	P04806 P04807 P17709
423	P15367 Q04969 Q12133
424	P11412 P46367 P54115
425	P35734 P36162 Q03954 Q12248
426	P14693 P50110 P53969
427	P32804 P34240 Q12436
428	P16661 P38179 P53954
429	P14693 P50110 P53969
430	P14693 P50110 P53969
431	O13525 P27680 P53318
432	P15367 Q04969 Q12133
433	P15367 Q04969 Q12133
434	P32804 P34240 Q12436
435	P38969 P40990 P53239
436	P14693 P50110 P53969
437	P22135 P40491 Q03028
438	P15367 Q04969 Q12133
439	P38969 P40990 P53239
440	P32804 P34240 Q12436
441	P38969 P40990 P53239
442	P43124 Q05541 Q07913
443	P04806 P04807 P17709
444	P38969 P40990 P53239
445	P32791 P35192 P36033
446	P15367 Q04969 Q12133
447	P39904 P47061 Q12071
448	P38969 P40990 P53239
449	P16661 P38179 P53954
450	P14693 P50110 P53969
451	P16661 P38179 P53954
452	P15367 Q04969 Q12133
453	O13525 P27680 P53318
454	P22135 P40491 Q03028
455	P14693 P50110 P53969
456	P32804 P34240 Q12436
457	P32791 P35192 P36033
458	O13525 P27680 P53318
459	P14693 P50110 P53969
460	O13525 P27680 P53318
461	P11412 P46367 P54115
462	P32791 P35192 P36033
463	P35734 P36162 Q03954 Q12248
464	P38969 P40990 P53239
465	P00424 P00427 P07255
466	P16661 P38179 P53954
467	P16661 P38179 P53954
468	P22135 P40491 Q03028
469	O13525 P27680 P53318
470	O13525 P27680 P53318
471	P11412 P46367 P54115
472	P43124 Q05541 Q07913
473	P15367 Q04969 Q12133
474	P14693 P50110 P53969
475	P11412 P46367 P54115
476	P38969 P40990 P53239
477	P38969 P40990 P53239
478	P22135 P40491 Q03028
479	P32791 P35192 P36033
480	P15367 Q04969 Q12133
481	P00424 P00427 P07255
482	P14693 P50110 P53969
483	P16661 P38179 P53954
484	P32791 P35192 P36033
485	P04806 P04807 P17709
486	P32791 P35192 P36033
487	P04806 P04807 P17709
488	P04806 P04807 P17709
489	O13525 P27680 P53318
490	P38969 P40990 P53239
491	P04806 P04807 P17709
492	P32804 P34240 Q12436
493	P04806 P04807 P17709
494	P14693 P50110 P53969
495	P14906 P21825 P39742
496	P00424 P00427 P07255
497	P04806 P04807 P17709
498	P14906 P21825 P39742
499	P32804 P34240 Q12436
500	P38969 P40990 P53239
501	P32791 P35192 P36033
502	P11412 P46367 P54115
503	P15367 Q04969 Q12133
504	P15367 Q04969 Q12133
505	P22135 P40491 Q03028
506	P14693 P50110 P53969
507	P16661 P38179 P53954
508	P04806 P04807 P17709
509	O13525 P27680 P53318
510	P32804 P34240 Q12436
511	O13525 P27680 P53318
512	P16661 P38179 P53954
513	P00424 P00427 P07255
514	P32791 P35192 P36033
515	P04806 P04807 P17709
516	P15367 Q04969 Q12133
517	P16661 P38179 P53954
518	P22135 P40491 Q03028
519	P32791 P35192 P36033
520	O13525 P27680 P53318
521	P14693 P50110 P53969
522	P11412 P46367 P54115
523	P38969 P40990 P53239
524	P04806 P04807 P17709
525	P38969 P40990 P53239
526	P22354 P38064 Q06090
527	P22135 P40491 Q03028
528	P14693 P50110 P53969
529	P38969 P40990 P53239
530	O13525 P27680 P53318
531	P15367 Q04969 Q12133
532	O13525 P27680 P53318
533	P14693 P50110 P53969
534	P00424 P00427 P07255
535	P14693 P50110 P53969
536	P32791 P35192 P36033
537	P22135 P40491 Q03028
538	P04806 P04807 P17709
539	P00424 P00427 P07255
540	P16661 P38179 P53954
541	P38969 P40990 P53239
542	P14693 P50110 P53969
543	P22354 P38064 Q06090
544	P14693 P50110 P53969
545	P04806 P04807 P17709
546	P11412 P46367 P54115
547	P04806 P04807 P17709
548	P16661 P38179 P53954
549	P14693 P50110 P53969
550	P11412 P46367 P54115
551	P38969 P40990 P53239
552	P00424 P00427 P07255
553	P38969 P40990 P53239
554	P32804 P34240 Q12436
555	P32804 P34240 Q12436
556	P16661 P38179 P53954
557	P16661 P38179 P53954
558	P00424 P00427 P07255
559	P00424 P00427 P07255
560	P14693 P50110 P53969
561	P22135 P40491 Q03028
562	P15367 Q04969 Q12133
563	P22135 P40491 Q03028
564	P14693 P50110 P53969
565	P15367 Q04969 Q12133
566	P04806 P04807 P17709
567	P04806 P04807 P17709
568	P22135 P40491 Q03028
